frame_index,timestamp_s,ball_x,ball_y,radius_px,circularity,v_at_center,confidence,n_candidates
3163,52.753,478.96,256.66,5.08,0.816,180,0.576,3
3164,52.7697,441.58,291.4,7.95,0.684,180,0.483,6
3165,52.7864,417.29,306.64,7.69,0.672,193,0.509,1
3166,52.8031,468.71,313.26,7.6,0.688,194,0.524,4
3167,52.8198,601.98,354.34,5.06,0.75,189,0.556,3
3168,52.8364,,,,,,0.0,2
3169,52.8531,654.44,387.44,5.08,0.765,217,0.651,1
3170,52.8698,,,,,,0.0,2
3171,52.8865,487.97,302.73,12.16,0.699,242,0.664,3
3172,52.9031,337.17,216.53,10.35,0.804,229,0.722,3
3173,52.9198,298.57,192.37,11.38,0.715,233,0.653,8
3174,52.9365,300.11,192.27,10.29,0.794,228,0.71,5
3175,52.9532,301.52,192.26,10.48,0.793,223,0.693,2
3176,52.9699,315.25,194.83,10.53,0.764,229,0.686,1
3177,52.9865,384.14,210.35,10.42,0.794,237,0.738,4
3178,53.0032,529.15,248.45,5.57,0.77,181,0.546,3
3179,53.0199,670.01,292.31,5.22,0.748,212,0.622,2
3180,53.0366,733.38,314.68,5.41,0.748,207,0.607,4
3181,53.0533,744.39,319.12,5.6,0.778,215,0.656,2
3182,53.0699,744.05,319.08,5.68,0.801,215,0.676,3
3183,53.0866,720.04,312.03,5.77,0.792,210,0.652,2
3184,53.1033,616.68,289.54,5.32,0.803,217,0.684,6
3185,53.12,,,,,,0.0,1
3186,53.1366,451.87,268.82,9.58,0.764,224,0.671,1
3187,53.1533,351.52,270.25,8.01,0.706,228,0.631,2
3188,53.17,303.14,268.54,6.98,0.694,244,0.664,4
3189,53.1867,294.88,287.81,6.93,0.73,211,0.604,2
3190,53.2034,432.09,305.3,7.67,0.76,204,0.608,3
3191,53.22,,,,,,0.0,2
3192,53.2367,710.7,299.51,5.89,0.677,217,0.576,2
3193,53.2534,854.02,285.0,5.44,0.725,188,0.535,5
3194,53.2701,743.79,259.28,5.41,0.717,198,0.557,2
3195,53.2867,,,,,,0.0,4
3196,53.3034,574.91,240.61,8.8,0.684,230,0.617,3
3197,53.3201,778.73,306.4,9.11,0.69,192,0.52,4
3198,53.3368,,,,,,0.0,5
3199,53.3535,1318.15,440.29,5.31,0.774,216,0.656,4
3200,53.3701,1634.87,502.3,5.19,0.824,211,0.682,3
3201,53.3868,1672.47,484.13,6.0,0.718,196,0.552,1
3202,53.4035,,,,,,0.0,1
3203,53.4202,1653.57,436.75,5.85,0.814,219,0.699,2
3204,53.4368,,,,,,0.0,2
3205,53.4535,1601.61,346.46,6.41,0.735,222,0.64,3
3206,53.4702,1557.22,294.17,6.41,0.735,215,0.62,4
3207,53.4869,1548.69,330.47,5.82,0.733,217,0.624,4
3208,53.5036,,,,,,0.0,4
3209,53.5202,1556.13,416.89,5.44,0.756,221,0.655,5
3210,53.5369,1562.47,458.35,5.29,0.715,221,0.62,3
