frame_index,timestamp_s,ball_x,ball_y,radius_px,circularity,v_at_center,confidence,n_candidates
169,2.8189,1127.34,412.77,5.23,0.699,208,0.57,11
170,2.8355,1127.31,412.26,5.01,0.601,209,0.493,10
171,2.8522,1127.32,411.72,5.23,0.699,211,0.579,10
172,2.8689,1127.33,411.19,5.14,0.658,211,0.545,13
173,2.8856,1127.27,410.64,5.23,0.699,209,0.573,14
174,2.9022,1127.21,410.1,5.28,0.612,208,0.499,18
175,2.9189,1127.17,409.59,5.19,0.739,207,0.6,17
176,2.9356,1127.08,409.07,5.26,0.651,207,0.529,16
177,2.9523,1127.05,408.53,5.12,0.625,207,0.507,15
178,2.969,1127.11,407.98,5.22,0.589,205,0.473,17
179,2.9856,1127.19,407.46,5.19,0.739,205,0.594,13
180,3.0023,1127.21,406.91,5.17,0.683,205,0.549,8
181,3.019,1127.21,406.36,5.16,0.671,205,0.539,10
182,3.0357,1127.22,405.79,5.17,0.683,211,0.565,14
183,3.0524,1127.23,405.23,5.22,0.633,211,0.523,10
184,3.069,1127.23,404.68,5.17,0.683,210,0.562,12
185,3.0857,1127.23,404.15,5.16,0.618,209,0.506,14
186,3.1024,1127.19,403.64,5.12,0.691,209,0.567,15
187,3.1191,1127.14,403.11,5.28,0.589,209,0.483,14
188,3.1358,1127.17,402.54,5.12,0.636,204,0.509,10
189,3.1524,1127.17,401.95,5.25,0.629,207,0.511,8
190,3.1691,1127.19,401.4,5.23,0.644,209,0.528,12
191,3.1858,1127.17,400.91,5.11,0.667,207,0.541,12
192,3.2025,1127.14,400.44,5.01,0.627,202,0.496,9
193,3.2192,1127.1,399.92,5.05,0.65,207,0.528,11
194,3.2358,1127.07,399.39,4.95,0.586,208,0.478,10
195,3.2525,1127.08,398.88,5.05,0.65,207,0.528,10
196,3.2692,1127.13,398.4,4.98,0.594,208,0.484,12
197,3.2859,1127.18,397.94,5.0,0.595,205,0.478,10
198,3.3026,1127.17,397.47,4.97,0.551,198,0.428,16
199,3.3192,1127.12,396.92,4.95,0.626,204,0.501,17
200,3.3359,1127.1,396.33,5.25,0.54,205,0.434,18
201,3.3526,1127.12,395.78,5.01,0.616,204,0.493,12
202,3.3693,1127.17,395.32,4.79,0.498,207,0.404,18
203,3.386,1127.21,394.95,4.89,0.585,208,0.477,18
204,3.4026,1127.19,394.55,4.67,0.487,210,0.401,18
205,3.4193,1127.06,394.06,4.97,0.622,210,0.513,12
206,3.436,1126.99,393.57,4.7,0.494,210,0.407,15
207,3.4527,1127.01,393.05,4.93,0.641,209,0.525,14
208,3.4694,1127.03,392.54,4.9,0.582,210,0.479,14
209,3.486,1126.99,392.03,5.0,0.605,209,0.496,15
210,3.5027,1127.03,391.53,5.01,0.568,208,0.463,12
211,3.5194,1127.13,391.01,5.03,0.638,208,0.521,10
212,3.5361,1127.25,390.5,5.09,0.579,208,0.473,12
213,3.5528,1127.33,389.95,5.16,0.562,207,0.456,13
214,3.5694,1127.39,389.42,5.37,0.633,208,0.516,12
215,3.5861,1127.39,388.9,5.34,0.58,203,0.462,9
216,3.6028,1127.38,388.38,5.19,0.547,202,0.434,8
217,3.6195,1127.15,387.9,5.31,0.596,203,0.474,15
218,3.6361,1126.95,387.48,5.05,0.532,207,0.432,13
219,3.6528,1126.96,387.06,5.16,0.594,202,0.47,14
220,3.6695,1126.96,386.66,5.03,0.565,203,0.45,14
221,3.6862,1126.99,386.24,5.05,0.609,196,0.468,12
222,3.7029,1127.24,385.77,5.26,0.592,205,0.476,13
223,3.7195,1127.34,385.38,5.03,0.588,196,0.452,15
224,3.7362,1127.3,385.01,4.87,0.551,204,0.441,18
225,3.7529,1127.27,384.62,5.14,0.565,205,0.454,8
226,3.7696,1127.12,384.21,4.74,0.501,197,0.387,15
227,3.7863,1126.9,383.77,4.87,0.574,201,0.452,11
228,3.8029,1126.77,383.28,4.85,0.492,195,0.377,12
229,3.8196,1126.75,382.83,4.97,0.622,201,0.491,9
230,3.8363,1126.73,382.39,4.93,0.544,205,0.437,10
231,3.853,1126.68,381.95,5.14,0.687,198,0.533,12
232,3.8697,1126.66,381.55,5.01,0.654,204,0.523,13
233,3.8863,1126.7,381.11,5.19,0.625,193,0.473,9
234,3.903,1126.79,380.71,5.11,0.679,203,0.54,9
235,3.9197,1126.78,380.35,5.12,0.61,192,0.46,12
236,3.9364,1126.65,380.01,5.01,0.591,193,0.448,14
237,3.9531,1126.7,379.71,5.06,0.647,194,0.492,10
238,3.9697,1126.94,379.34,5.11,0.624,190,0.465,13
239,3.9864,1127.1,378.9,5.28,0.733,196,0.563,10
240,4.0031,1127.21,378.48,5.22,0.687,203,0.547,15
241,4.0198,1127.33,378.04,5.22,0.575,188,0.424,9
242,4.0365,1127.34,377.6,5.38,0.71,200,0.557,11
243,4.0531,1127.32,377.24,5.25,0.605,188,0.446,8
244,4.0698,1157.75,373.79,5.26,0.579,193,0.438,10
245,4.0865,1236.96,361.19,5.17,0.604,186,0.441,15
246,4.1032,,,,,,0.0,12
247,4.1199,1206.21,345.21,6.91,0.648,219,0.556,13
248,4.1365,,,,,,0.0,12
249,4.1532,926.37,341.58,9.67,0.785,233,0.718,11
250,4.1699,718.78,340.83,9.76,0.801,232,0.729,14
251,4.1866,688.03,335.7,9.75,0.78,232,0.709,11
252,4.2033,716.75,329.08,9.84,0.819,235,0.755,12
253,4.2199,745.89,323.1,9.89,0.795,235,0.733,10
254,4.2366,775.42,317.66,10.09,0.814,235,0.75,14
255,4.2533,805.38,312.88,10.2,0.832,235,0.767,9
256,4.27,835.74,308.86,10.28,0.825,232,0.751,12
257,4.2867,866.44,305.55,10.13,0.834,232,0.759,13
258,4.3033,897.62,302.82,10.38,0.827,235,0.763,12
259,4.32,929.31,300.72,10.56,0.793,236,0.734,15
260,4.3367,961.42,299.38,10.83,0.815,236,0.755,14
261,4.3534,993.95,298.91,10.73,0.818,233,0.747,13
262,4.3701,1027.01,299.23,11.06,0.843,233,0.77,14
263,4.3867,1060.59,300.26,11.56,0.855,236,0.791,15
264,4.4034,1094.63,302.05,11.91,0.806,236,0.746,12
265,4.4201,1129.1,304.61,11.77,0.814,235,0.75,14
266,4.4368,1164.05,307.96,12.08,0.797,235,0.735,19
267,4.4534,1199.61,312.16,12.27,0.805,237,0.748,15
268,4.4701,1235.91,317.31,12.51,0.821,236,0.76,15
269,4.4868,1272.85,323.38,12.7,0.818,236,0.758,12
270,4.5035,1310.31,330.32,13.04,0.826,236,0.764,15
271,4.5202,1332.05,338.78,13.55,0.793,236,0.734,14
272,4.5368,1295.55,349.94,13.8,0.808,235,0.745,10
273,4.5535,,,,,,0.0,15
274,4.5702,1202.53,361.25,5.22,0.762,200,0.597,13
275,4.5869,1141.2,366.82,5.37,0.772,200,0.605,13
276,4.6036,1127.06,367.74,5.29,0.728,204,0.583,16
277,4.6202,1127.13,367.51,5.26,0.751,202,0.595,12
278,4.6369,1127.17,367.28,5.16,0.654,200,0.513,10
279,4.6536,1127.18,367.05,5.16,0.682,200,0.535,11
280,4.6703,1127.17,366.85,5.25,0.738,202,0.584,8
281,4.687,1127.19,366.7,5.2,0.748,201,0.589,9
282,4.7036,1127.17,366.58,5.26,0.751,201,0.592,10
283,4.7203,1127.04,366.37,5.17,0.726,202,0.575,8
284,4.737,1126.89,366.04,5.12,0.647,198,0.502,12
285,4.7537,1126.82,365.79,5.2,0.703,200,0.552,16
286,4.7704,1126.87,365.59,5.03,0.741,202,0.587,15
287,4.787,1126.94,365.32,5.17,0.614,198,0.477,13
288,4.8037,1126.85,364.96,5.19,0.691,201,0.544,17
289,4.8204,1126.69,364.58,5.09,0.683,198,0.53,17
290,4.8371,1126.63,364.21,5.23,0.655,200,0.514,19
291,4.8538,1126.58,363.9,5.16,0.712,200,0.559,18
292,4.8704,1126.54,363.55,5.06,0.647,196,0.497,12
293,4.8871,1126.52,363.16,5.26,0.69,195,0.528,11
294,4.9038,1126.46,362.8,5.11,0.708,198,0.55,11
295,4.9205,1126.37,362.44,5.14,0.749,198,0.582,12
296,4.9372,1126.32,362.01,5.23,0.743,195,0.568,16
297,4.9538,1126.29,361.61,5.19,0.739,196,0.568,7
298,4.9705,1126.28,361.25,5.17,0.64,192,0.482,13
299,4.9872,1126.21,360.89,5.14,0.717,192,0.54,9
300,5.0039,1126.06,360.52,5.06,0.687,196,0.528,12
301,5.0206,1125.97,360.11,5.23,0.712,194,0.541,10
302,5.0372,1125.97,359.8,5.2,0.674,197,0.521,9
303,5.0539,1126.0,359.47,5.28,0.674,200,0.529,10
304,5.0706,1125.92,359.08,4.97,0.661,195,0.505,11
305,5.0873,1125.85,358.64,4.89,0.69,198,0.535,7
306,5.104,1125.86,358.19,5.08,0.682,192,0.514,13
307,5.1206,1125.9,357.74,4.92,0.731,198,0.568,10
308,5.1373,1125.99,357.29,5.03,0.678,194,0.516,10
309,5.154,1126.11,356.86,4.7,0.691,197,0.534,12
310,5.1707,1126.22,356.46,4.82,0.615,192,0.463,8
311,5.1874,1126.2,356.08,4.46,0.664,197,0.513,9
312,5.204,1126.14,355.63,4.62,0.616,201,0.486,12
313,5.2207,1126.1,355.16,4.46,0.664,197,0.513,13
314,5.2374,1125.96,354.71,4.48,0.59,202,0.467,9
315,5.2541,1125.62,354.38,4.53,0.585,197,0.452,9
316,5.2707,1125.24,354.06,4.51,0.539,204,0.431,12
317,5.2874,1124.9,353.6,4.26,0.501,198,0.389,10
318,5.3041,1124.48,352.94,4.7,0.535,201,0.422,10
319,5.3208,1124.12,352.3,4.62,0.579,196,0.445,14
320,5.3375,1123.92,351.69,4.58,0.57,201,0.449,15
321,5.3541,1123.75,351.03,4.67,0.584,200,0.458,13
322,5.3708,1123.61,350.36,4.58,0.524,194,0.398,15
323,5.3875,1123.53,349.74,4.48,0.521,200,0.409,12
324,5.4042,1123.41,349.1,4.62,0.554,198,0.43,14
325,5.4209,1123.21,348.45,4.75,0.491,190,0.366,11
326,5.4375,1123.02,347.84,4.51,0.539,197,0.416,12
327,5.4542,1122.86,347.2,4.69,0.623,196,0.479,12
