frame_index,timestamp_s,ball_x,ball_y,raw_ball_x,raw_ball_y,radius_px,circularity,v_at_center,raw_confidence,bbox_x0,bbox_y0,bbox_x1,bbox_y1,tracking_backend,confidence,n_candidates
69,1.1511,400.45,472.52,400.52,472.59,4.41,,,0.623,395.65,468.18,405.39,477.0,ultralytics,0.623,1
70,1.1678,400.86,472.45,400.92,472.45,4.42,,,0.509,396.0,468.02,405.84,476.87,ultralytics,0.509,1
71,1.1845,401.15,472.39,401.18,472.3,4.62,,,0.642,396.23,467.68,406.12,476.92,ultralytics,0.642,1
72,1.2011,401.35,472.41,401.42,472.43,4.44,,,0.781,396.64,468.0,406.19,476.87,ultralytics,0.781,1
73,1.2178,401.47,472.49,401.45,472.43,4.45,,,0.778,396.72,467.98,406.18,476.89,ultralytics,0.778,1
74,1.2345,401.62,472.58,401.5,472.69,4.63,,,0.74,396.75,468.06,406.25,477.32,ultralytics,0.74,1
75,1.2512,401.81,472.57,401.96,472.58,4.56,,,0.725,397.09,468.02,406.83,477.14,ultralytics,0.725,1
76,1.2679,401.93,472.5,401.92,472.51,4.52,,,0.716,397.08,467.99,406.77,477.03,ultralytics,0.716,1
77,1.2846,401.99,472.42,401.96,472.38,4.54,,,0.769,397.05,467.83,406.88,476.92,ultralytics,0.769,1
78,1.3012,402.05,472.38,402.1,472.37,4.56,,,0.731,397.14,467.8,407.05,476.93,ultralytics,0.731,1
79,1.3179,402.07,472.37,402.09,472.36,4.57,,,0.731,397.13,467.79,407.04,476.92,ultralytics,0.731,2
80,1.3346,402.06,472.37,402.04,472.37,4.54,,,0.734,397.1,467.83,406.98,476.9,ultralytics,0.734,2
81,1.3513,402.09,472.35,402.03,472.39,4.54,,,0.732,397.1,467.85,406.95,476.93,ultralytics,0.732,2
82,1.368,402.17,472.3,402.22,472.27,4.45,,,0.718,397.37,467.82,407.07,476.72,ultralytics,0.718,3
83,1.3846,402.25,472.25,402.22,472.25,4.42,,,0.721,397.36,467.83,407.08,476.67,ultralytics,0.721,2
84,1.4013,402.3,472.2,402.35,472.26,4.68,,,0.748,397.4,467.58,407.3,476.94,ultralytics,0.748,2
85,1.418,402.31,472.12,402.33,472.06,4.49,,,0.642,397.43,467.57,407.22,476.55,ultralytics,0.642,1
86,1.4347,402.27,472.06,402.26,472.05,4.56,,,0.731,397.29,467.5,407.23,476.61,ultralytics,0.731,2
87,1.4514,402.24,472.02,402.23,472.05,4.58,,,0.708,397.35,467.48,407.11,476.63,ultralytics,0.708,1
88,1.4681,402.22,471.98,402.22,471.96,4.62,,,0.64,397.31,467.34,407.13,476.58,ultralytics,0.64,1
89,1.4847,402.21,471.93,402.2,471.93,4.54,,,0.612,397.33,467.39,407.07,476.47,ultralytics,0.612,1
90,1.5014,402.2,471.9,402.2,471.89,4.52,,,0.51,397.34,467.36,407.05,476.41,ultralytics,0.51,1
91,1.5181,402.19,471.87,402.22,471.92,4.52,,,0.567,397.41,467.4,407.02,476.44,ultralytics,0.567,1
92,1.5348,402.17,471.82,402.14,471.77,4.58,,,0.541,397.24,467.2,407.05,476.35,ultralytics,0.541,1
93,1.5515,407.59,471.65,402.17,471.86,4.54,,,0.64,397.28,467.32,407.06,476.4,ultralytics,0.64,1
94,1.5682,426.56,471.25,402.06,471.45,4.49,,,0.543,396.99,466.95,407.13,475.94,ultralytics,0.543,1
95,1.5848,,,,,,,,0.0,,,,,ultralytics,0.0,0
