frame_index,timestamp_s,ball_x,ball_y,radius_px,circularity,v_at_center,confidence,n_candidates
150,2.5019,1127.94,421.69,5.35,0.622,205,0.5,21
151,2.5186,1127.86,421.18,5.26,0.707,207,0.574,31
152,2.5353,1127.92,420.77,5.28,0.567,203,0.451,30
153,2.552,1128.03,420.43,5.28,0.733,207,0.595,19
154,2.5687,1128.04,419.99,5.26,0.626,203,0.498,16
155,2.5853,1127.98,419.51,5.37,0.792,203,0.63,18
156,2.602,1127.86,419.06,5.23,0.655,204,0.524,29
157,2.6187,1127.77,418.6,5.38,0.772,205,0.621,27
158,2.6354,1127.75,418.14,5.38,0.722,208,0.589,31
159,2.6521,1127.75,417.63,5.44,0.725,210,0.597,32
160,2.6687,1127.78,417.1,4.97,0.551,205,0.443,31
161,2.6854,1127.81,416.53,5.44,0.725,208,0.592,25
162,2.7021,1127.85,415.95,5.2,0.611,208,0.499,26
163,2.7188,1127.86,415.41,5.38,0.71,209,0.582,24
164,2.7355,1127.9,414.92,5.05,0.609,205,0.49,21
165,2.7521,1127.86,414.49,5.25,0.738,207,0.599,34
166,2.7688,1127.67,414.06,5.14,0.632,205,0.508,28
167,2.7855,1127.45,413.62,5.29,0.715,205,0.575,35
168,2.8022,1127.35,413.17,4.95,0.637,207,0.517,26
169,2.8189,1127.32,412.67,5.23,0.699,208,0.57,35
170,2.8355,1127.33,412.16,4.85,0.639,209,0.524,26
171,2.8522,1127.34,411.65,5.23,0.699,211,0.579,33
172,2.8689,1127.34,411.16,5.01,0.654,208,0.533,27
173,2.8856,1127.29,410.64,5.05,0.691,209,0.566,26
174,2.9022,1127.24,410.07,4.84,0.601,208,0.49,27
175,2.9189,1127.2,409.49,4.9,0.644,207,0.523,26
176,2.9356,1127.17,408.92,4.9,0.617,207,0.501,27
177,2.9523,1127.14,408.37,4.9,0.644,207,0.523,32
178,2.969,1127.09,407.78,4.92,0.526,205,0.423,28
179,2.9856,1127.08,407.22,4.77,0.61,203,0.485,37
180,3.0023,1127.1,406.62,5.01,0.568,205,0.457,25
181,3.019,1127.12,406.03,4.79,0.548,207,0.445,28
182,3.0357,1127.11,405.5,4.84,0.566,205,0.455,28
183,3.0524,1127.18,405.03,4.92,0.579,211,0.479,27
184,3.069,1127.2,404.53,4.87,0.598,209,0.49,25
185,3.0857,1127.16,404.01,4.98,0.619,209,0.507,29
186,3.1024,1127.06,403.46,4.92,0.656,209,0.538,31
187,3.1191,1126.98,402.87,4.89,0.499,209,0.409,27
188,3.1358,1127.03,402.31,4.7,0.619,208,0.505,27
189,3.1524,1127.09,401.8,4.57,0.535,207,0.435,27
190,3.1691,1127.08,401.27,4.75,0.587,209,0.482,14
191,3.1858,1127.01,400.72,4.85,0.554,204,0.443,27
192,3.2025,1127.01,400.27,4.7,0.568,208,0.463,12
193,3.2192,1127.04,399.85,5.05,0.65,207,0.528,26
194,3.2358,1127.07,399.38,4.65,0.587,208,0.479,20
195,3.2525,1127.1,398.87,5.0,0.658,207,0.534,29
196,3.2692,1127.11,398.37,4.57,0.535,208,0.437,29
197,3.2859,1127.03,397.87,4.67,0.55,205,0.442,29
198,3.3026,1127.04,397.42,4.65,0.539,204,0.432,26
199,3.3192,1127.09,396.91,4.58,0.546,204,0.437,17
200,3.3359,1127.06,396.3,4.53,0.459,205,0.369,29
201,3.3526,1127.03,395.74,4.39,0.466,204,0.373,16
202,3.3693,1127.08,395.29,4.46,0.49,207,0.398,21
203,3.386,1127.14,394.91,4.53,0.497,208,0.405,24
204,3.4026,1127.13,394.51,4.18,0.463,210,0.381,16
205,3.4193,1127.05,394.09,4.64,0.499,210,0.411,32
206,3.436,1127.01,393.62,4.46,0.533,210,0.439,17
207,3.4527,1127.1,393.09,4.57,0.485,209,0.397,15
208,3.4694,1127.18,392.57,4.48,0.521,210,0.429,27
209,3.486,1127.07,392.04,4.57,0.485,209,0.397,17
210,3.5027,1126.97,391.49,4.67,0.528,208,0.431,15
211,3.5194,1127.08,390.94,4.8,0.515,208,0.42,18
212,3.5361,1127.29,390.41,4.65,0.539,208,0.44,19
213,3.5528,1127.48,389.81,5.08,0.583,207,0.473,16
214,3.5694,1127.6,389.21,4.69,0.459,208,0.375,25
215,3.5861,1127.49,388.7,4.95,0.512,203,0.408,33
216,3.6028,1127.27,388.25,4.58,0.502,193,0.38,37
217,3.6195,1127.08,387.79,4.97,0.573,203,0.456,21
218,3.6361,1126.95,387.37,4.39,0.474,193,0.359,21
219,3.6528,1126.99,386.98,4.33,0.497,202,0.394,25
220,3.6695,1127.15,386.56,4.67,0.56,201,0.441,36
221,3.6862,1127.25,386.13,4.35,0.448,195,0.342,44
222,3.7029,1127.31,385.65,4.6,0.455,190,0.339,21
223,3.7195,1127.23,385.28,4.44,0.436,196,0.335,27
224,3.7362,1127.18,384.98,4.64,0.48,204,0.384,25
225,3.7529,1127.31,384.65,4.69,0.525,204,0.42,29
226,3.7696,1127.37,384.25,4.41,0.492,198,0.382,23
227,3.7863,1127.2,383.79,4.57,0.535,201,0.422,29
228,3.8029,1127.04,383.29,4.58,0.524,195,0.4,30
229,3.8196,1126.91,382.85,4.87,0.664,201,0.523,32
230,3.8363,1125.51,385.32,4.44,0.625,190,0.466,34
231,3.853,1121.95,397.67,4.35,0.664,194,0.505,23
232,3.8697,1121.44,418.06,4.13,0.661,196,0.508,17
233,3.8863,1128.63,427.16,4.22,0.604,207,0.49,14
234,3.903,1132.27,416.84,5.03,0.518,200,0.407,32
235,3.9197,1130.55,396.58,4.72,0.555,192,0.418,23
236,3.9364,1131.22,386.56,4.64,0.576,193,0.436,29
237,3.9531,1133.46,385.83,4.26,0.463,195,0.354,30
238,3.9697,1131.06,383.12,4.58,0.607,190,0.452,28
239,3.9864,1127.96,379.95,4.6,0.567,196,0.436,36
240,4.0031,1125.31,378.08,4.69,0.525,203,0.418,26
241,4.0198,1119.21,375.31,4.72,0.476,193,0.361,43
242,4.0365,1114.0,372.94,4.62,0.416,198,0.323,27
243,4.0531,1119.52,377.22,4.92,0.656,202,0.52,30
244,4.0698,1128.28,393.18,4.55,0.483,193,0.366,16
245,4.0865,1135.56,417.6,4.13,0.661,203,0.526,23
246,4.1032,1139.48,424.74,4.75,0.554,235,0.51,16
247,4.1199,1137.17,404.6,4.24,0.446,201,0.352,13
248,4.1365,1128.33,384.89,4.58,0.607,194,0.462,33
249,4.1532,1112.58,380.53,4.85,0.68,194,0.518,14
250,4.1699,1101.21,381.99,4.18,0.36,196,0.277,17
251,4.1866,1111.69,378.79,5.01,0.76,193,0.575,18
252,4.2033,1124.33,375.07,4.75,0.624,192,0.47,15
253,4.2199,1127.91,373.78,5.06,0.717,193,0.543,9
254,4.2366,1113.56,369.87,5.16,0.712,193,0.539,29
255,4.2533,1051.29,352.97,5.28,0.733,195,0.561,9
256,4.27,,,,,,0.0,9
257,4.2867,955.31,324.66,9.98,0.844,232,0.767,7
258,4.3033,913.49,306.25,10.22,0.815,235,0.751,25
259,4.32,929.29,300.61,10.17,0.808,236,0.747,16
260,4.3367,961.48,299.31,10.61,0.807,235,0.744,11
261,4.3534,994.02,298.88,10.51,0.854,233,0.78,18
262,4.3701,1027.01,299.2,10.79,0.802,233,0.732,11
263,4.3867,1060.52,300.23,11.42,0.848,236,0.785,9
264,4.4034,1094.56,302.02,11.73,0.809,236,0.748,7
265,4.4201,1129.06,304.58,11.49,0.799,235,0.737,12
266,4.4368,1164.02,307.93,11.81,0.816,235,0.752,12
267,4.4534,1199.57,312.1,12.07,0.801,237,0.744,15
268,4.4701,1235.85,317.22,12.29,0.803,236,0.743,10
269,4.4868,1272.78,323.29,12.53,0.835,236,0.773,12
270,4.5035,1310.28,330.23,12.88,0.806,236,0.746,11
271,4.5202,1348.38,338.05,13.2,0.789,236,0.731,6
272,4.5368,1387.17,347.03,13.53,0.801,235,0.738,5
273,4.5535,1426.71,357.43,13.81,0.764,235,0.704,8
274,4.5702,1466.87,368.99,15.79,0.644,237,0.599,9
275,4.5869,1482.21,378.86,16.52,0.633,236,0.586,9
276,4.6036,1434.77,387.48,17.21,0.628,236,0.582,20
277,4.6202,,,,,,0.0,7
278,4.6369,1405.01,411.61,4.55,0.701,196,0.539,14
279,4.6536,,,,,,0.0,4
280,4.6703,1529.45,462.06,4.22,0.734,225,0.647,5
281,4.687,1657.27,499.03,6.31,0.39,196,0.3,4
282,4.7036,1681.74,499.37,5.16,0.562,230,0.507,5
283,4.7203,1663.02,487.03,4.09,0.353,205,0.284,7
284,4.737,1642.8,484.93,4.35,0.353,236,0.326,11
285,4.7537,1631.55,461.4,4.82,0.787,197,0.608,8
286,4.7704,1651.26,416.78,12.11,0.364,197,0.281,16
287,4.787,1674.0,389.2,4.58,0.711,204,0.569,13
288,4.8037,1651.31,385.04,4.15,0.466,196,0.359,14
289,4.8204,1550.8,370.21,5.22,0.545,195,0.417,22
290,4.8371,,,,,,0.0,18
291,4.8538,1400.85,336.71,12.3,0.86,237,0.799,16
292,4.8704,1302.93,314.52,12.15,0.851,236,0.788,23
293,4.8871,1264.74,308.82,11.99,0.889,236,0.823,9
294,4.9038,1243.74,308.42,11.93,0.879,236,0.813,12
295,4.9205,1222.93,308.82,11.92,0.848,236,0.785,20
296,4.9372,1202.23,310.03,11.73,0.894,237,0.831,7
297,4.9538,1181.74,311.94,11.83,0.865,236,0.801,30
298,4.9705,1161.66,314.55,11.69,0.869,236,0.804,22
299,4.9872,1141.84,317.9,11.62,0.841,236,0.778,25
300,5.0039,1120.3,328.05,11.64,0.875,237,0.813,19
301,5.0206,1090.11,358.38,11.46,0.848,237,0.788,23
302,5.0372,1047.55,401.19,4.22,0.475,216,0.402,12
303,5.0539,1013.47,421.92,6.36,0.489,201,0.386,11
304,5.0706,1021.2,423.01,6.41,0.55,198,0.427,17
305,5.0873,1067.14,409.62,4.53,0.531,204,0.425,15
306,5.104,1107.85,381.32,4.67,0.595,192,0.448,11
307,5.1206,1123.57,362.11,4.51,0.628,197,0.485,23
308,5.1373,1126.18,357.27,4.64,0.586,192,0.441,14
309,5.154,1126.35,356.89,4.39,0.613,197,0.474,25
310,5.1707,1126.3,356.47,4.46,0.605,192,0.455,16
311,5.1874,1126.22,356.03,4.39,0.585,197,0.452,20
312,5.204,1126.24,358.38,4.28,0.478,194,0.364,17
313,5.2207,1126.27,367.71,4.26,0.597,197,0.461,14
314,5.2374,1126.33,378.27,5.81,0.423,201,0.333,25
315,5.2541,1124.72,382.32,3.99,0.55,197,0.425,12
316,5.2707,1110.37,393.59,4.67,0.599,198,0.465,22
317,5.2874,1069.62,405.41,4.67,0.599,201,0.472,20
318,5.3041,1018.27,411.25,6.33,0.5,203,0.398,27
