frame_index,timestamp_s,ball_x,ball_y,radius_px,circularity,v_at_center,confidence,n_candidates
146,2.4352,693.11,526.2,5.92,0.663,198,0.515,36
147,2.4519,698.47,526.88,6.89,0.711,198,0.552,43
148,2.4686,686.49,524.76,5.11,0.727,198,0.564,43
149,2.4853,669.78,525.46,5.67,0.651,205,0.524,32
150,2.5019,671.14,528.6,7.63,0.672,228,0.601,36
151,2.5186,679.11,526.19,7.54,0.669,202,0.53,31
152,2.5353,692.62,513.33,5.47,0.654,203,0.521,40
153,2.552,710.81,496.63,5.73,0.679,210,0.559,20
154,2.5687,711.4,490.15,5.29,0.675,207,0.548,22
155,2.5853,688.22,497.05,5.11,0.727,198,0.564,33
156,2.602,659.27,504.33,7.78,0.679,233,0.62,39
157,2.6187,619.05,497.41,5.53,0.695,202,0.551,27
158,2.6354,548.86,491.88,9.14,0.689,183,0.494,28
159,2.6521,482.36,499.61,5.92,0.663,200,0.52,28
160,2.6687,448.26,513.83,6.84,0.725,221,0.628,31
161,2.6854,432.31,521.93,7.76,0.657,218,0.561,35
162,2.7021,417.95,523.84,6.89,0.659,186,0.48,35
163,2.7188,401.89,526.94,5.32,0.711,187,0.522,46
164,2.7355,382.92,540.66,7.82,0.659,215,0.556,24
165,2.7521,361.84,563.21,5.84,0.788,185,0.572,37
166,2.7688,340.75,576.43,5.16,0.764,183,0.548,27
167,2.7855,320.03,582.64,5.05,0.755,207,0.613,31
168,2.8022,317.15,589.53,10.68,0.695,196,0.534,31
169,2.8189,334.33,579.71,6.9,0.75,210,0.618,38
170,2.8355,336.76,558.16,6.1,0.743,210,0.612,28
171,2.8522,316.27,558.47,7.13,0.69,189,0.511,23
172,2.8689,307.62,576.38,5.26,0.785,205,0.631,32
173,2.8856,307.87,574.36,5.71,0.679,209,0.556,29
174,2.9022,299.72,552.09,5.22,0.748,221,0.648,24
175,2.9189,314.03,535.65,6.43,0.705,216,0.597,31
176,2.9356,361.79,527.12,5.59,0.797,202,0.631,24
177,2.9523,406.12,520.6,5.11,0.727,201,0.573,21
178,2.969,406.06,520.12,5.53,0.695,201,0.548,26
179,2.9856,351.51,525.95,6.98,0.656,212,0.545,26
180,3.0023,281.75,530.9,6.57,0.742,219,0.637,15
